source,country,country_name,salary_yearly,currency,years_experience,experience_level,languages_worked,developer_type,education_level,company_size,collected_at
stackoverflow,DE,Germany,74651.0,EUR,17,Junior,,"Developer, full-stack;Database administrator;Project manager","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Just me - I am a freelancer, sole proprietor, etc.",2025-07-02T09:58:35.817544
stackoverflow,DE,Germany,,EUR,nan,Unknown,npm;Yarn,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,2025-07-02T09:58:35.818546
stackoverflow,DE,Germany,,EUR,nan,Unknown,Docker,"Developer, back-end;Student;Developer, embedded applications or devices","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,2025-07-02T09:58:35.818546
stackoverflow,DE,Germany,,EUR,nan,Unknown,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,2025-07-02T09:58:35.818546
stackoverflow,DE,Germany,,EUR,nan,Unknown,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,2025-07-02T09:58:35.818546
stackoverflow,DE,Germany,,EUR,15,Junior,Docker;Homebrew;Kubernetes;Terraform,"Engineer, site reliability;DevOps specialist;Senior Executive (C-Suite, VP, etc.)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,2025-07-02T09:58:35.818546
stackoverflow,DE,Germany,,EUR,nan,Unknown,Docker;Yarn,Academic researcher;Security professional,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,2025-07-02T09:58:35.818546
stackoverflow,DE,Germany,,EUR,nan,Unknown,,"Developer, full-stack;Student",Some college/university study without earning a degree,,2025-07-02T09:58:35.818546
stackoverflow,DE,Germany,34126.0,EUR,4,Mid-level,Docker,"Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Developer, embedded applications or devices",Some college/university study without earning a degree,20 to 99 employees,2025-07-02T09:58:35.819542
stackoverflow,DE,Germany,,EUR,nan,Unknown,Docker;Homebrew;npm;Yarn,"Developer, full-stack;Developer, desktop or enterprise applications;Student;Database administrator;Developer, embedded applications or devices;System administrator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,2025-07-02T09:58:35.819542
stackoverflow,DE,Germany,,EUR,nan,Unknown,Docker;Homebrew;Terraform,Cloud infrastructure engineer,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,2025-07-02T09:58:35.819542
stackoverflow,DE,Germany,,EUR,nan,Unknown,npm,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Student",Some college/university study without earning a degree,,2025-07-02T09:58:35.820541
stackoverflow,DE,Germany,511884.0,EUR,10,Junior,Ansible;Docker;Kubernetes;npm;Terraform,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Engineering manager;DevOps specialist;Developer, embedded applications or devices;Cloud infrastructure engineer;System administrator;Security professional","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,2025-07-02T09:58:35.820541
stackoverflow,DE,Germany,85315.0,EUR,4,Mid-level,Docker;Homebrew;Kubernetes;npm;Yarn,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",2025-07-02T09:58:35.820541
stackoverflow,DE,Germany,111976.0,EUR,6,Mid-level,Homebrew;npm;Yarn,"Developer, full-stack;Engineering manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,2025-07-02T09:58:35.820541
stackoverflow,DE,Germany,89581.0,EUR,3,Junior,Docker;Homebrew;npm,"Engineer, data;Developer, back-end;Cloud infrastructure engineer","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2025-07-02T09:58:35.820541
stackoverflow,DE,Germany,,EUR,nan,Unknown,Docker;npm,"Developer, desktop or enterprise applications",Some college/university study without earning a degree,,2025-07-02T09:58:35.820541
stackoverflow,DE,Germany,,EUR,4,Mid-level,Docker,"DevOps specialist;Developer, embedded applications or devices","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",2025-07-02T09:58:35.820541
stackoverflow,DE,Germany,16632.0,EUR,2,Junior,,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,2025-07-02T09:58:35.820541
stackoverflow,DE,Germany,49908.0,EUR,2,Junior,,"Developer, back-end;Security professional","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees,2025-07-02T09:58:35.820541
stackoverflow,DE,Germany,,EUR,nan,Unknown,Docker;npm,Other (please specify):,Some college/university study without earning a degree,,2025-07-02T09:58:35.821540
stackoverflow,DE,Germany,,EUR,2,Junior,Docker;Homebrew;npm,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Just me - I am a freelancer, sole proprietor, etc.",2025-07-02T09:58:35.821540
stackoverflow,DE,Germany,,EUR,nan,Unknown,,,Primary/elementary school,,2025-07-02T09:58:35.821540
